Week,    DateRange,          PlannedEffort,  ActualEffort,  OtherDeadlines
4, 29th Jan -  4th Feb,"Define Initial Milesones, Initial Planning Meeting, Define Basic Programs","              Define Initiai Programs, Initial Planning", Lexers Deliberable
5,  5th Feb - 11th Feb,"Define Basic Programs, Implement C Lexer",Define Basic Programs,
6, 12th Feb - 18th Feb,Implement C Lexer,None," Databases Deliverable. Networks Coursework. Parser Deliverable, Picocon"
7, 19th Feb - 25th Feb,"WriteRequiredTests, WriteASTForBasicProgram, ImplementLexerForBasicPrograms",              ,
8, 26th Feb -  4th Mar,                  ,              , Databases Deliverable. Code Gen Deliverable
9,  5th Mar - 11th Mar,                  ,              ,
10, 12th Mar - 18th Mar,                  ,              ,Maths Coursework
11, 19th Mar - 27th Mar,                  ,              ,
